50 80
1 16 20
1 49 39
2 28 15
2 30 33
3 47 42
4 22 5
4 33 10
5 2 36
6 10 49
6 25 2
6 27 8
6 33 40
7 21 47
8 7 35
8 28 5
8 34 30
9 47 42
9 49 25
10 27 45
12 1 24
12 7 26
12 11 11
12 14 13
13 6 48
13 44 50
14 9 45
15 16 2
15 19 1
15 25 42
16 20 37
17 49 36
19 46 1
20 33 3
20 43 1
20 46 38
20 48 18
21 11 12
22 11 15
22 12 29
22 15 21
22 24 17
23 39 49
24 26 47
24 41 50
24 44 35
25 29 37
25 32 9
25 48 20
26 44 17
27 22 32
27 43 19
29 11 44
30 20 43
31 18 40
31 43 21
32 30 5
32 36 5
33 10 3
33 15 34
34 5 17
34 7 19
34 20 38
34 26 37
37 30 40
37 35 47
38 29 3
39 32 19
39 47 37
40 35 25
41 2 17
41 6 6
41 31 33
42 39 5
43 3 22
43 10 27
45 32 10
45 48 41
49 3 35
50 15 33
50 28 18
