500 93814
81 383 4
196 243 17
346 429 7
204 291 21
85 295 19
117 295 2
278 459 42
324 365 35
85 140 14
76 261 17
91 212 21
13 448 1
181 264 47
50 447 44
289 479 13
108 465 19
4 330 6
21 304 9
139 480 10
195 396 39
246 465 47
220 361 5
232 333 30
47 386 23
126 259 50
376 495 4
19 312 34
319 399 12
97 336 15
25 171 35
166 476 3
128 278 39
274 384 16
177 420 20
278 365 48
267 492 20
290 472 39
13 456 6
37 225 20
75 318 18
376 436 12
287 379 48
336 436 18
190 236 43
99 491 8
361 423 7
377 449 50
30 86 39
261 362 49
385 491 23
199 387 26
452 453 11
11 496 2
79 162 5
389 475 11
64 119 4
44 91 11
231 470 30
175 300 40
419 489 12
57 148 42
14 424 36
4 366 8
10 323 40
206 315 32
180 311 39
146 206 14
278 397 37
102 121 7
158 475 12
379 461 35
230 423 13
186 311 17
235 439 4
402 418 32
54 243 19
28 430 49
10 130 50
143 146 19
175 265 37
260 438 7
180 247 45
32 465 24
305 466 10
435 500 10
91 241 13
191 348 34
370 416 2
319 430 14
274 429 2
10 380 39
393 420 17
279 306 23
11 158 16
80 218 24
372 438 49
392 396 17
299 410 22
81 468 13
116 205 46
314 453 17
47 181 17
114 399 6
38 108 11
166 493 4
213 472 41
207 300 11
117 147 11
349 390 29
355 369 13
197 465 16
142 259 5
39 431 14
455 472 12
188 198 20
124 362 38
67 235 4
338 424 34
23 91 10
186 307 12
24 462 32
129 247 21
46 297 8
101 283 20
299 349 12
64 137 1
203 391 42
72 118 9
187 254 24
262 415 45
149 341 42
174 260 17
103 263 24
158 292 23
293 351 26
56 171 42
101 110 12
279 309 15
87 98 29
231 391 33
13 124 3
209 443 1
33 80 19
6 63 47
338 479 37
20 493 49
29 243 1
74 152 24
48 393 6
187 475 4
95 135 44
209 213 22
45 380 38
221 436 49
69 230 24
117 141 22
142 279 9
57 184 43
5 208 4
220 431 23
60 482 23
160 210 49
207 442 18
253 395 15
337 388 22
258 426 20
19 199 32
114 171 15
87 341 38
31 339 7
26 169 21
16 238 34
121 379 11
151 457 14
104 312 18
144 343 1
91 114 15
274 322 3
295 425 35
22 252 15
15 179 6
319 353 3
68 179 2
184 226 45
455 468 19
139 227 21
407 426 27
168 491 11
368 466 43
344 347 13
273 487 34
79 226 15
423 426 24
66 418 33
88 321 20
87 283 35
135 206 33
241 396 32
67 376 22
74 239 16
42 482 50
417 450 18
97 494 11
347 467 43
209 367 4
389 468 1
344 496 4
178 378 16
384 430 19
5 308 1
131 329 49
112 312 4
183 265 18
14 375 37
411 492 22
19 24 41
277 390 33
102 415 18
166 292 7
126 268 47
78 341 30
254 436 49
269 490 8
116 466 43
125 335 15
54 109 7
67 128 12
5 277 4
392 480 17
144 335 19
280 491 23
209 307 5
62 392 8
492 495 10
11 302 21
102 334 7
313 420 23
336 356 9
92 480 16
119 394 19
68 169 22
63 203 31
79 86 8
148 334 31
441 469 13
196 328 13
293 363 46
168 229 9
114 149 14
49 350 24
32 229 6
383 455 20
23 168 20
17 283 50
185 211 18
236 495 43
188 253 14
133 367 39
175 380 28
188 435 3
223 418 26
35 405 23
151 309 24
257 457 41
209 372 1
38 488 24
216 352 45
59 223 30
142 178 12
76 130 2
264 293 26
105 338 3
