1000	100000	
1	913	4
1	905	34
1	744	30
1	858	49
1	143	17
1	4	35
1	586	24
1	147	27
1	7	23
1	50	10
1	356	46
1	295	42
1	232	9
1	721	22
1	647	29
1	98	12
1	732	18
1	101	19
1	44	48
1	82	39
1	927	45
1	287	48
1	819	46
1	109	5
1	786	48
1	421	12
1	750	19
1	160	48
1	463	1
1	405	44
1	679	38
1	807	9
1	78	46
1	42	38
1	597	20
1	755	2
1	98	37
1	286	38
1	717	14
1	908	15
1	254	26
1	447	11
1	455	11
1	594	21
1	72	11
1	355	12
1	553	26
1	263	25
1	5	33
1	787	8
1	434	42
1	911	5
1	418	43
1	751	5
1	384	14
1	424	13
1	559	26
1	272	18
1	394	1
1	164	35
1	326	40
1	667	14
1	29	9
1	426	42
1	114	29
1	69	38
1	475	31
1	451	48
1	401	9
1	566	1
1	235	36
1	688	38
1	120	11
1	153	7
1	253	13
1	816	45
1	271	47
1	94	12
1	355	40
1	877	22
1	705	14
1	250	10
1	304	17
1	827	11
1	963	5
1	991	35
1	788	8
1	76	33
1	388	32
1	701	3
1	624	45
1	282	42
1	72	44
1	102	37
1	341	30
1	535	2
1	183	43
1	6	1
1	46	4
2	472	5
2	629	23
2	910	31
2	594	45
2	331	47
2	33	22
2	885	24
2	56	17
2	450	48
2	133	5
2	686	10
2	909	40
2	980	4
2	754	26
2	21	17
2	745	5
2	847	44
2	934	15
2	215	50
2	612	43
2	685	16
2	643	6
2	559	10
2	307	35
2	799	20
2	942	24
2	477	36
2	689	26
2	442	22
2	51	19
2	327	44
2	75	42
2	591	49
2	654	38
2	954	45
2	773	22
2	7	19
2	52	18
2	671	20
2	123	29
2	182	13
2	606	2
2	890	12
2	237	12
2	960	14
2	245	1
2	739	27
2	615	33
2	892	2
2	378	19
2	544	34
2	704	2
2	802	41
2	956	10
2	446	10
2	6	45
2	970	28
2	596	3
2	935	47
2	144	31
2	857	47
2	524	25
2	752	25
2	629	39
2	606	8
2	564	8
2	218	40
2	954	9
2	228	24
2	19	19
2	4	36
2	343	35
2	108	30
2	711	21
2	20	16
2	36	49
2	731	41
2	767	24
2	807	12
2	956	28
2	339	1
2	274	22
2	272	27
2	272	24
2	944	40
2	672	18
2	544	4
2	696	28
2	712	47
2	508	4
2	973	33
2	943	6
2	364	30
2	742	40
2	164	25
2	960	22
2	182	2
2	274	35
2	255	16
2	122	18
3	127	12
3	674	23
3	259	6
3	558	1
3	579	34
3	272	6
3	270	20
3	482	36
3	361	46
3	264	42
3	278	24
3	3	13
3	58	33
3	924	41
3	409	35
3	605	22
3	118	4
3	590	3
3	460	23
3	367	8
3	946	49
3	208	45
3	150	31
3	536	1
3	175	15
3	181	45
3	352	26
3	558	29
3	364	29
3	116	40
3	808	33
3	224	29
3	319	37
3	823	36
3	541	13
3	860	9
3	770	16
3	849	40
3	243	15
3	229	50
3	330	18
3	846	1
3	111	8
3	723	24
3	930	21
3	769	48
3	202	11
3	91	32
3	749	3
3	770	5
3	756	38
3	855	27
3	890	27
3	364	33
3	368	3
3	917	25
3	361	43
3	942	39
3	261	19
3	119	10
3	861	36
3	505	36
3	257	36
3	536	28
3	627	39
3	147	39
3	64	42
3	363	50
3	536	1
3	202	22
3	531	43
3	242	9
3	586	26
3	548	47
3	247	2
3	819	37
3	44	40
3	684	11
3	89	28
3	71	47
3	21	41
3	191	43
3	7	21
3	529	20
3	977	32
3	480	49
3	491	22
3	863	28
3	962	20
3	258	40
3	811	26
3	493	32
3	695	40
3	220	30
3	98	50
3	17	31
3	561	40
3	750	2
3	221	39
3	920	47
4	725	16
4	782	11
4	982	22
4	230	42
4	62	21
4	393	22
4	405	24
4	381	2
4	902	30
4	619	24
4	614	32
4	173	31
4	247	1
4	396	11
4	656	49
4	362	10
4	114	42
4	14	40
4	434	24
4	290	48
4	753	35
4	49	22
4	294	18
4	439	32
4	862	32
4	765	44
4	340	9
4	315	7
4	178	27
4	246	9
4	901	33
4	539	14
4	407	43
4	269	20
4	504	12
4	776	14
4	28	19
4	254	25
4	28	24
4	145	17
4	707	23
4	17	18
4	388	7
4	624	20
4	634	43
