1000 10000
1 31 34
1 213 45
1 333 27
1 543 33
1 561 47
1 617 11
1 618 4
1 666 27
1 755 49
1 770 27
1 908 20
1 930 24
1 966 13
2 16 34
2 42 27
2 103 20
2 106 29
2 144 24
2 177 37
2 407 37
2 436 28
2 486 44
2 550 37
2 577 37
2 688 17
2 764 29
2 856 30
2 872 28
2 945 4
3 121 27
3 203 21
3 322 6
3 399 1
3 432 17
3 569 18
3 586 5
3 928 44
3 961 22
4 131 34
4 410 24
4 433 43
4 555 42
4 752 31
4 870 28
4 911 13
4 946 32
4 995 16
5 51 10
5 162 34
5 221 7
5 301 47
5 325 36
5 338 46
5 443 18
5 541 25
5 681 40
5 746 40
5 890 30
5 931 42
6 33 6
6 48 35
6 147 6
6 278 17
6 473 9
6 537 1
6 941 30
7 102 24
7 167 48
7 389 16
7 455 33
7 621 25
7 730 40
7 762 6
7 765 17
7 932 3
8 7 16
8 23 41
8 338 17
8 371 37
8 464 49
8 585 34
8 647 28
8 674 34
8 931 34
9 140 43
9 173 11
9 228 34
9 255 35
9 312 14
9 535 36
9 542 14
9 670 33
9 773 22
9 791 43
9 820 47
9 918 40
9 942 11
9 968 14
10 158 2
10 404 28
10 422 38
10 547 32
10 628 44
10 636 9
10 942 48
11 18 11
11 31 30
11 185 7
11 633 47
11 758 25
12 515 32
12 561 39
12 588 13
12 638 38
12 772 44
12 914 30
13 137 43
13 192 11
13 239 7
13 255 33
13 275 7
13 348 7
13 412 41
13 441 17
13 595 37
13 673 40
13 753 13
13 765 12
13 846 24
13 939 47
13 975 37
14 413 30
14 675 16
14 789 25
14 926 27
15 67 7
15 447 45
15 453 6
15 495 23
15 596 12
15 696 34
15 922 6
16 8 30
16 56 11
16 64 38
16 119 46
16 225 30
16 467 4
16 627 2
16 977 9
17 21 10
17 173 28
17 291 36
17 316 47
17 505 43
17 616 11
17 665 13
17 705 35
17 720 8
17 820 40
17 859 14
17 861 30
18 395 20
18 403 43
18 559 21
18 663 39
18 786 37
18 856 43
18 864 4
18 979 4
19 16 6
19 248 42
19 253 4
19 292 35
19 369 40
19 425 8
19 429 28
19 465 44
19 688 4
20 126 31
20 170 41
20 459 3
21 166 18
21 185 39
21 217 16
21 301 1
21 304 43
21 412 28
21 432 16
21 474 37
21 578 50
21 598 42
21 810 25
21 902 33
21 933 34
22 206 44
22 281 25
22 284 4
22 587 9
22 692 31
22 700 49
22 746 8
22 775 27
22 829 31
22 923 38
23 74 40
23 146 8
23 147 48
23 274 12
23 317 48
23 414 2
23 606 10
23 734 46
23 788 37
23 829 9
23 845 46
23 853 13
24 39 1
24 180 27
24 230 45
24 252 12
24 292 22
24 313 15
24 505 4
24 575 41
24 728 46
24 770 50
24 973 23
25 49 46
25 200 36
25 253 4
25 335 33
25 468 19
25 545 26
25 846 19
26 277 43
26 356 18
26 365 13
26 535 16
26 607 14
26 636 21
26 668 4
26 682 17
26 692 22
26 708 3
26 790 30
26 939 8
27 67 44
27 288 6
27 464 45
27 583 50
27 721 30
27 843 48
27 887 23
28 206 16
28 409 23
28 431 6
28 498 28
28 769 49
28 892 1
28 921 38
29 201 36
29 265 5
29 416 7
29 454 4
29 492 50
29 615 47
29 632 24
29 930 26
29 931 39
30 114 47
30 134 47
30 212 1
30 462 17
30 707 34
30 828 7
30 922 30
31 327 4
31 443 45
31 485 18
31 517 27
31 757 5
31 773 46
31 807 31
31 921 25
31 922 40
32 53 28
32 177 4
32 178 37
32 189 25
32 200 19
32 269 22
32 435 33
32 605 12
32 904 3
32 919 4
32 959 39
32 1000 45
33 50 43
33 257 40
33 327 8
33 388 38
33 526 49
33 776 3
33 803 33
33 817 42
33 850 40
33 990 35
34 30 13
34 58 49
34 89 37
34 361 18
34 432 2
34 494 36
34 568 34
34 601 27
34 638 34
34 722 27
34 957 12
34 984 50
35 130 22
35 203 21
35 334 19
35 492 47
35 502 49
35 745 22
35 760 47
35 843 5
35 911 12
36 113 27
36 117 49
36 286 27
36 288 42
36 391 29
36 443 33
36 469 30
36 895 24
37 48 21
37 548 36
37 737 21
37 844 30
38 36 41
38 73 45
38 225 5
38 233 41
38 366 34
38 417 29
38 507 21
38 570 6
38 758 41
38 860 41
38 894 39
38 999 46
39 13 15
39 132 36
39 180 11
39 290 50
39 313 27
39 602 27
39 854 48
39 916 24
40 110 32
40 164 16
40 213 27
40 284 6
40 340 24
40 381 28
40 447 41
40 587 36
40 677 34
40 811 44
41 72 40
41 183 17
41 251 45
41 451 38
41 524 16
41 624 6
41 711 25
41 907 30
41 943 30
41 987 17
42 27 42
42 105 25
42 126 32
42 265 27
42 315 14
42 468 27
42 486 12
42 529 18
42 607 27
