676 100000
72 290 14
166 667 39
533 56 16
410 120 3
79 553 43
436 285 13
54 173 12
24 38 35
376 603 48
279 185 6
531 440 28
282 197 47
236 600 7
631 309 27
194 637 5
54 657 34
597 400 49
261 477 13
152 453 11
1 378 39
349 42 49
371 152 49
99 523 23
124 405 2
42 664 3
173 171 26
601 644 43
304 157 6
384 652 4
102 42 44
567 609 3
169 367 34
638 319 5
68 520 34
127 208 23
625 533 12
105 77 27
430 89 33
622 326 17
619 210 23
614 660 30
164 97 42
623 627 27
123 98 1
116 61 23
262 41 15
232 280 30
387 481 40
433 276 31
160 347 46
106 602 29
45 529 24
550 317 49
69 113 9
415 510 49
445 436 44
191 243 11
62 3 29
182 359 38
440 662 11
63 544 9
137 605 32
202 631 31
588 666 20
214 584 37
116 527 24
468 506 41
613 603 8
304 454 27
444 335 42
625 42 33
74 434 6
81 145 49
421 212 29
509 526 29
609 8 50
645 369 9
481 463 35
356 308 43
635 110 37
665 559 45
405 11 14
177 592 10
69 367 34
337 577 14
379 439 4
186 78 30
73 413 16
369 378 10
495 328 27
573 265 10
512 669 14
438 381 45
192 140 42
199 488 3
519 418 39
98 325 50
146 483 2
476 581 2
285 384 2
516 671 29
88 130 44
141 373 34
417 498 24
667 516 29
266 453 44
72 370 26
339 550 37
201 238 2
418 311 36
567 15 28
72 9 40
592 179 16
417 38 40
6 23 42
381 348 42
283 86 14
405 275 5
119 298 47
572 240 34
296 297 17
26 482 30
43 523 28
58 80 47
635 542 14
414 577 31
225 181 19
335 246 30
655 401 48
261 320 29
649 176 8
345 4 30
613 202 3
645 179 43
171 27 42
533 625 21
499 40 12
178 526 28
297 272 16
21 33 36
342 167 39
448 213 49
241 508 8
74 14 4
412 128 46
504 198 31
90 442 11
377 303 7
7 611 9
140 237 8
550 306 6
676 360 42
341 583 21
634 71 18
639 77 3
410 542 38
486 287 23
223 503 14
424 390 18
415 548 18
598 374 46
434 358 7
43 143 4
189 400 26
50 33 36
654 246 48
135 417 41
121 2 3
673 228 46
129 345 9
520 180 45
75 485 30
450 137 8
342 556 4
600 109 29
314 113 25
23 490 35
139 261 46
85 549 34
34 608 35
565 445 5
547 337 31
219 310 3
676 170 15
183 229 34
532 99 15
657 71 21
399 594 50
192 22 49
607 507 44
450 79 17
187 213 24
155 18 40
99 240 16
160 78 10
48 559 45
289 628 3
335 179 15
656 478 15
345 61 40
342 612 7
118 49 19
185 455 21
464 392 1
603 466 32
378 573 39
253 539 5
68 201 19
204 358 17
46 254 39
223 115 43
218 540 34
221 608 7
38 407 28
275 123 41
650 66 8
335 347 32
498 88 28
269 537 10
490 246 18
112 676 44
258 333 47
407 555 44
247 94 36
654 353 14
382 598 27
571 370 2
299 663 4
61 544 50
660 617 11
155 316 38
570 228 17
481 494 30
168 43 21
543 155 47
285 437 29
206 120 18
88 500 35
575 114 46
527 519 43
56 619 38
557 418 14
339 160 37
503 445 13
340 480 14
153 294 46
153 167 23
601 409 27
316 329 2
163 363 21
112 620 39
213 274 24
550 126 50
410 109 21
109 303 29
138 353 12
479 397 27
1 9 6
266 322 23
524 452 15
331 648 8
100 357 39
488 13 5
86 424 30
596 497 39
170 107 46
116 672 31
252 189 48
528 564 24
537 212 29
236 548 16
655 239 23
203 255 50
19 560 43
160 222 39
193 25 25
485 180 14
601 15 4
541 368 7
486 454 12
193 518 25
439 438 1
149 491 17
348 634 15
233 274 32
637 488 17
482 539 19
61 558 50
255 522 14
437 534 40
94 288 40
140 23 5
255 358 33
138 667 7
551 370 20
659 488 4
61 232 43
119 97 10
636 213 4
552 527 8
557 342 8
188 223 37
576 674 7
312 336 46
221 342 2
17 502 21
150 513 43
572 498 32
204 513 33
329 66 4
280 420 1
155 273 44
507 87 39
302 304 35
624 291 20
2 109 43
397 125 31
422 301 21
201 215 13
280 394 43
261 275 45
669 265 20
33 22 27
627 15 33
89 307 1
594 39 41
287 240 7
53 242 41
319 123 24
124 104 30
429 459 40
596 302 35
605 411 13
319 31 40
480 659 50
370 102 25
179 17 42
615 524 45
17 351 15
556 554 6
353 639 22
281 592 11
272 355 48
488 32 14
