500 1000
1 2 22
2 3 7
3 4 1
4 5 16
5 6 41
6 7 11
7 8 37
8 9 8
9 10 18
10 11 40
11 12 31
12 13 33
13 14 29
14 15 21
15 16 49
16 17 43
17 18 28
18 19 32
19 20 1
20 21 30
21 22 49
22 23 12
23 24 48
24 25 13
25 26 3
26 27 8
27 28 16
28 29 14
29 30 2
30 31 42
31 32 34
32 33 25
33 34 3
34 35 6
35 36 42
36 37 45
37 38 5
38 39 28
39 40 18
40 41 42
41 42 12
42 43 41
43 44 19
44 45 19
45 46 26
46 47 48
47 48 46
48 49 48
49 50 32
50 51 26
51 52 43
52 53 19
53 54 2
54 55 12
55 56 22
56 57 24
57 58 36
58 59 7
59 60 21
60 61 33
61 62 43
62 63 35
63 64 40
64 65 48
65 66 47
66 67 41
67 68 48
68 69 6
69 70 16
70 71 28
71 72 18
72 73 16
73 74 23
74 75 15
75 76 45
76 77 8
77 78 19
78 79 33
79 80 45
80 81 25
81 82 27
82 83 34
83 84 19
84 85 23
85 86 31
86 87 50
87 88 30
88 89 37
89 90 2
90 91 32
91 92 26
92 93 24
93 94 4
94 95 23
95 96 47
96 97 30
97 98 11
98 99 20
99 100 33
100 101 15
101 102 1
102 103 9
103 104 39
104 105 32
105 106 44
106 107 2
107 108 9
108 109 17
109 110 47
110 111 44
111 112 49
112 113 24
113 114 46
114 115 13
115 116 41
116 117 36
117 118 25
118 119 7
119 120 28
120 121 22
121 122 3
122 123 30
123 124 26
124 125 40
125 126 1
126 127 7
127 128 28
128 129 9
129 130 32
130 131 43
131 132 13
132 133 25
133 134 33
134 135 25
135 136 20
136 137 46
137 138 9
138 139 42
139 140 10
140 141 3
141 142 50
142 143 29
143 144 14
144 145 47
145 146 36
146 147 37
147 148 17
148 149 32
149 150 41
150 151 32
151 152 45
152 153 48
153 154 39
154 155 46
155 156 49
156 157 28
157 158 13
158 159 50
159 160 26
160 161 7
161 162 36
162 163 15
163 164 49
164 165 36
165 166 47
166 167 47
167 168 26
168 169 29
169 170 2
170 171 8
171 172 16
172 173 30
173 174 44
174 175 7
175 176 33
176 177 41
177 178 8
178 179 33
179 180 49
180 181 1
181 182 43
182 183 27
183 184 8
184 185 23
185 186 44
186 187 5
187 188 43
188 189 21
189 190 38
190 191 5
191 192 49
192 193 1
193 194 19
194 195 42
195 196 41
196 197 33
197 198 40
198 199 30
199 200 41
200 201 3
201 202 44
202 203 14
203 204 5
204 205 1
205 206 24
206 207 25
207 208 24
208 209 50
209 210 27
210 211 6
211 212 40
212 213 25
213 214 4
214 215 42
215 216 25
216 217 25
217 218 44
218 219 36
219 220 34
220 221 36
221 222 38
222 223 3
223 224 27
224 225 41
225 226 32
226 227 42
227 228 47
228 229 45
229 230 14
230 231 5
231 232 50
232 233 45
233 234 49
234 235 31
235 236 18
236 237 22
237 238 29
238 239 3
239 240 11
240 241 41
241 242 10
242 243 12
243 244 10
244 245 38
245 246 30
246 247 27
247 248 34
248 249 13
249 250 24
250 251 39
251 252 26
252 253 37
253 254 15
254 255 21
255 256 4
256 257 45
257 258 48
258 259 25
259 260 20
260 261 13
261 262 18
262 263 18
263 264 37
264 265 29
265 266 50
266 267 32
267 268 5
268 269 12
269 270 45
270 271 26
271 272 20
272 273 36
273 274 31
274 275 26
275 276 7
276 277 16
277 278 47
278 279 9
279 280 36
280 281 34
281 282 8
282 283 14
283 284 43
284 285 5
285 286 16
286 287 6
287 288 25
288 289 8
289 290 10
290 291 28
291 292 46
292 293 30
293 294 45
294 295 17
295 296 15
296 297 44
297 298 40
298 299 35
299 300 32
300 301 15
301 302 32
302 303 23
303 304 2
304 305 43
305 306 20
306 307 46
307 308 41
308 309 11
309 310 17
310 311 29
311 312 44
312 313 10
313 314 18
314 315 39
315 316 31
316 317 27
317 318 37
318 319 41
319 320 17
320 321 5
321 322 31
322 323 44
323 324 2
324 325 28
325 326 37
326 327 39
327 328 7
328 329 29
329 330 28
330 331 37
331 332 25
332 333 25
333 334 34
334 335 39
335 336 47
336 337 47
337 338 37
338 339 11
339 340 1
340 341 49
341 342 8
342 343 37
343 344 39
344 345 23
345 346 1
346 347 9
347 348 23
348 349 26
349 350 33
350 351 25
351 352 5
352 353 47
353 354 33
354 355 36
355 356 11
356 357 24
357 358 19
358 359 8
359 360 42
360 361 6
361 362 16
362 363 45
363 364 8
364 365 44
365 366 46
366 367 10
367 368 48
368 369 21
369 370 12
370 371 15
371 372 45
372 373 27
373 374 7
374 375 48
375 376 1
376 377 34
377 378 29
378 379 24
379 380 16
380 381 8
381 382 4
382 383 39
383 384 37
384 385 17
385 386 40
386 387 27
387 388 44
388 389 14
389 390 47
390 391 49
391 392 11
392 393 36
393 394 50
394 395 38
395 396 16
396 397 6
397 398 21
398 399 42
399 400 41
400 401 45
401 402 3
402 403 33
403 404 50
404 405 8
405 406 29
406 407 27
407 408 39
408 409 28
409 410 13
410 411 15
411 412 1
412 413 31
413 414 4
414 415 11
415 416 19
416 417 3
417 418 6
418 419 12
419 420 33
420 421 39
421 422 35
422 423 27
423 424 20
424 425 19
425 426 6
426 427 5
427 428 46
428 429 50
429 430 22
430 431 2
431 432 30
432 433 17
433 434 50
434 435 4
435 436 20
436 437 30
437 438 28
438 439 39
439 440 38
440 441 11
441 442 8
442 443 37
443 444 6
444 445 36
445 446 42
446 447 21
447 448 34
448 449 49
449 450 14
450 451 5
451 452 11
452 453 11
453 454 10
454 455 41
455 456 26
456 457 11
457 458 36
458 459 49
459 460 16
460 461 30
461 462 35
462 463 25
463 464 44
464 465 18
465 466 29
466 467 8
467 468 48
468 469 47
469 470 22
470 471 14
471 472 50
472 473 13
473 474 37
474 475 5
475 476 13
476 477 16
477 478 33
478 479 29
479 480 29
480 481 25
481 482 43
482 483 4
483 484 20
484 485 4
485 486 11
486 487 7
487 488 36
488 489 27
489 490 12
490 491 20
491 492 5
492 493 28
493 494 39
494 495 49
495 496 22
496 497 17
497 498 6
498 499 17
499 500 21
1 500 25
1 3 36
1 4 42
1 5 19
1 6 23
1 7 27
1 8 16
1 9 16
1 10 26
1 11 26
1 12 15
1 13 32
1 14 24
1 15 10
1 16 2
1 17 10
1 18 2
1 19 24
1 20 25
1 21 21
1 22 15
1 23 15
1 24 37
1 25 27
1 26 1
1 27 42
1 28 44
1 29 34
1 30 10
1 31 35
1 32 4
1 33 47
1 34 27
1 35 39
1 36 7
1 37 40
1 38 14
1 39 44
1 40 6
1 41 32
1 42 35
1 43 44
1 44 14
1 45 2
1 46 26
1 47 24
1 48 22
1 49 7
1 50 40
1 51 50
1 52 35
1 53 2
1 54 4
1 55 48
1 56 14
1 57 33
1 58 38
1 59 5
1 60 9
1 61 16
1 62 5
1 63 31
1 64 49
1 65 49
1 66 1
1 67 45
1 68 23
1 69 22
1 70 13
1 71 42
1 72 16
1 73 11
1 74 23
1 75 2
1 76 2
1 77 50
1 78 37
1 79 8
1 80 38
1 81 18
1 82 50
1 83 18
1 84 6
1 85 41
1 86 32
1 87 4
1 88 34
1 89 20
1 90 22
1 91 39
1 92 5
1 93 47
1 94 2
1 95 50
1 96 11
1 97 30
1 98 8
1 99 42
1 100 43
1 101 38
1 102 3
1 103 44
1 104 20
1 105 33
1 106 25
1 107 38
1 108 27
1 109 49
1 110 37
1 111 21
1 112 17
1 113 29
1 114 42
1 115 20
1 116 32
1 117 38
1 118 6
1 119 27
1 120 23
1 121 7
1 122 42
1 123 33
1 124 49
1 125 19
1 126 21
1 127 36
1 128 28
1 129 22
1 130 49
1 131 14
1 132 28
1 133 40
1 134 23
1 135 6
1 136 2
1 137 15
1 138 22
1 139 11
1 140 38
1 141 39
1 142 19
1 143 8
1 144 11
1 145 33
1 146 19
1 147 18
1 148 34
1 149 34
1 150 48
1 151 46
1 152 15
1 153 15
1 154 50
1 155 27
1 156 50
1 157 42
1 158 36
1 159 16
1 160 16
1 161 9
1 162 33
1 163 16
1 164 22
1 165 43
1 166 50
1 167 21
1 168 36
1 169 26
1 170 33
1 171 29
1 172 50
1 173 11
1 174 45
1 175 27
1 176 1
1 177 20
1 178 11
1 179 34
1 180 15
1 181 21
1 182 44
1 183 27
1 184 16
1 185 8
1 186 48
1 187 22
1 188 21
1 189 12
1 190 12
1 191 15
1 192 37
1 193 41
1 194 8
1 195 12
1 196 23
1 197 8
1 198 50
1 199 24
1 200 17
1 201 50
1 202 20
1 203 42
1 204 5
1 205 3
1 206 37
1 207 46
1 208 20
1 209 19
1 210 18
1 211 13
1 212 31
1 213 5
1 214 35
1 215 48
1 216 21
1 217 3
1 218 27
1 219 41
1 220 10
1 221 31
1 222 8
1 223 44
1 224 35
1 225 42
1 226 49
1 227 18
1 228 15
1 229 28
1 230 9
1 231 42
1 232 4
1 233 18
1 234 19
1 235 42
1 236 31
1 237 8
1 238 49
1 239 33
1 240 35
1 241 27
1 242 18
1 243 38
1 244 47
1 245 13
1 246 30
1 247 23
1 248 46
1 249 31
1 250 39
1 251 19
1 252 25
1 253 3
1 254 22
1 255 40
1 256 35
1 257 14
1 258 49
1 259 39
1 260 39
1 261 12
1 262 4
1 263 39
1 264 48
1 265 25
1 266 7
1 267 32
1 268 47
1 269 12
1 270 26
1 271 43
1 272 6
1 273 20
1 274 29
1 275 34
1 276 7
1 277 27
1 278 1
1 279 23
1 280 24
1 281 19
1 282 34
1 283 43
1 284 44
1 285 37
1 286 46
1 287 2
1 288 11
1 289 27
1 290 19
1 291 6
1 292 41
1 293 5
1 294 42
1 295 43
1 296 49
1 297 40
1 298 33
1 299 27
1 300 9
1 301 9
1 302 27
1 303 9
1 304 2
1 305 19
1 306 9
1 307 12
1 308 37
1 309 34
1 310 8
1 311 15
1 312 40
1 313 21
1 314 19
1 315 35
1 316 17
1 317 19
1 318 49
1 319 36
1 320 22
1 321 27
1 322 36
1 323 37
1 324 5
1 325 9
1 326 7
1 327 43
1 328 3
1 329 1
1 330 9
1 331 41
1 332 26
1 333 10
1 334 9
1 335 29
1 336 35
1 337 41
1 338 4
1 339 7
1 340 12
1 341 45
